Query,Top_5_Ids,Citation_Cnts
GABA AND GABRA1,"[6180030, 5195897, 6061692, 3412149, 5771312]","[43, 63, 28, 252, 34]"
GABA AND GABRA2,"[6180030, 6870297, 3181829, 3717553, 4933285]","[43, 34, 48, 29, 27]"
GABA AND GABRA3,"[6180030, 6061692, 5545734, 3412149, 4239297]","[43, 28, 32, 252, 30]"
GABA AND GABRA4,"[6180030, 4477717, 5301472, 3924525, 6061692]","[43, 160, 31, 44, 28]"
GABA AND GABRA5,"[4307650, 6180030, 2075237, 4477717, 3412149]","[46, 43, 143, 160, 252]"
Zebrafish AND GABRA1,"[5466539, 5515482, 5027381, 4786103, 3484860]","[27, 25, 33, 33, 50]"
Zebrafish AND GABRA2,"[2656604, 5515482, 3860818, 2577853, 4159132]","[52, 25, 42, 103, 34]"
Zebrafish AND GABRA3,"[5515482, 3860818, 6180030, 4053846, 6757416]","[25, 42, 43, 93, 27]"
Zebrafish AND GABRA4,"[5515482, 3860818, 6180030, 2802832, 2577853]","[25, 42, 43, 54, 103]"
Zebrafish AND GABRA5,"[5515482, 3860818, 5168934, 6673626, 6180030]","[25, 42, 158, 78, 43]"
GABA AND Ivermectin NOT covid-19 AND GABRA1,"[3274767, 6853794, 5650660, 3892288, 4718212]","[60, 73, 124, 105, 104]"
GABA AND Ivermectin NOT covid-19 AND GABRA2,"[4017285, 5650660, 4204805, 3892288, 4718212]","[31, 124, 83, 105, 104]"
GABA AND Ivermectin NOT covid-19 AND GABRA3,"[5650660, 3892288, 4718212]","[124, 105, 104]"
GABA AND Ivermectin NOT covid-19 AND GABRA4,"[5650660, 3892288, 4718212, 5659204]","[124, 105, 104, 30]"
GABA AND Ivermectin NOT covid-19 AND GABRA5,"[5650660, 3892288, 4718212, 5659204]","[124, 105, 104, 30]"
GABA AND Ivermectin NOT covid-19,"[5402169, 6220708, 7008306, 4916931, 5546710]","[36, 102, 30, 73, 43]"
GABA AND Ivermectin NOT covid-19 AND Zebrafish,"[2939657, 4659708, 6086659, 3345530, 3647606]","[37, 168, 48, 26, 36]"
